state,year,firm_id,cost,wage,rental_rate,epsilon,kappa,alpha,A,Lbar,rho,sales_weight,payroll_weight,property_weight,FA_tax_rate,separate_acct_tax_rate,sales_tax_rate,payroll_tax_rate
1,0,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0.0274399613645344,0
2,0,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
3,0,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
4,0,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
5,0,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
1,1,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.35,0,0,0
1,2,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.35,0,0,0
2,2,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
1,3,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.35,0,0,0
2,3,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
3,3,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
1,4,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.35,0,0,0
2,4,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
3,4,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
4,4,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
5,4,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
1,5,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.35,0,0,0
2,5,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
3,5,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
4,5,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
5,5,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
6,5,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
7,5,1,100,0.507920270448259,0.217680115906397,3.64432,1,0.3,1,27.848558398,Inf,1,0,0,0.25,0,0,0
